promo_id,promo_name,promo_type,start_date,end_date,discount_pct,channel_name
1,CNN-News18 Black Friday Offer,Black Friday,2024-06-16,2024-07-15,25,CNN-News18
2,CNN-News18 Navratri Offer,Navratri,2024-11-25,2024-12-16,30,CNN-News18
3,CNN-News18 Rugby World Cup Offer,Rugby World Cup,2024-06-12,2024-06-26,20,CNN-News18
4,NDTV ICC Champions Trophy Offer,ICC Champions Trophy,2024-12-10,2025-01-06,35,NDTV
5,NDTV Olympics Offer,Olympics,2024-07-28,2024-08-13,25,NDTV
6,Times Now Super Bowl Offer,Super Bowl,2024-03-31,2024-04-27,35,Times Now
7,Times Now Tour de France Offer,Tour de France,2024-02-07,2024-02-18,25,Times Now
8,Republic TV Summer Offer,Summer,2024-03-19,2024-04-10,35,Republic TV
9,Zee News Wimbledon Offer,Wimbledon,2024-12-19,2025-01-09,25,Zee News
10,Zee News ICC Champions Trophy Offer,ICC Champions Trophy,2024-07-23,2024-08-18,10,Zee News
11,Zee News Thanksgiving Offer,Thanksgiving,2024-11-09,2024-11-29,10,Zee News
12,Aaj Tak Black Friday Offer,Black Friday,2024-08-14,2024-08-29,25,Aaj Tak
13,Aaj Tak Super Bowl Offer,Super Bowl,2024-01-09,2024-02-01,20,Aaj Tak
14,Aaj Tak Summer Offer,Summer,2024-02-04,2024-02-28,20,Aaj Tak
15,ABP News Wimbledon Offer,Wimbledon,2024-08-14,2024-08-22,15,ABP News
16,India Today Holi Offer,Holi,2024-01-20,2024-02-17,10,India Today
17,India Today New Year Eve Offer,New Year Eve,2024-02-28,2024-03-23,10,India Today
18,CNBC-TV18 Olympics Offer,Olympics,2024-10-23,2024-11-14,15,CNBC-TV18
19,ET Now MotoGP World Championship Offer,MotoGP World Championship,2024-12-25,2025-01-04,20,ET Now
20,Star Plus New Year Eve Offer,New Year Eve,2024-05-18,2024-06-02,20,Star Plus
21,Star Plus Black Friday Offer,Black Friday,2024-07-25,2024-08-09,10,Star Plus
22,Colors MotoGP World Championship Offer,MotoGP World Championship,2024-05-10,2024-05-25,25,Colors
23,Colors Holi Offer,Holi,2024-11-12,2024-12-11,35,Colors
24,Colors Super Bowl Offer,Super Bowl,2024-04-26,2024-05-05,15,Colors
25,Sony Entertainment US Open (Tennis) Offer,US Open (Tennis),2024-01-22,2024-02-15,30,Sony Entertainment
26,Sony Entertainment Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-03-12,2024-03-22,10,Sony Entertainment
27,Sony Entertainment UEFA Euro Offer,UEFA Euro,2024-09-09,2024-09-22,15,Sony Entertainment
28,Zee TV Super Bowl Offer,Super Bowl,2024-10-22,2024-10-29,35,Zee TV
29,SAB TV MotoGP World Championship Offer,MotoGP World Championship,2024-10-01,2024-10-13,25,SAB TV
30,SAB TV Easter Offer,Easter,2024-10-07,2024-10-28,25,SAB TV
31,SAB TV Navratri Offer,Navratri,2024-09-16,2024-10-10,25,SAB TV
32,&TV Wimbledon Offer,Wimbledon,2024-11-28,2024-12-23,35,&TV
33,&TV Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-08-22,2024-09-20,30,&TV
34,&TV Super Bowl Offer,Super Bowl,2024-02-26,2024-03-07,20,&TV
35,Star Bharat Grand Slam of Badminton Offer,Grand Slam of Badminton,2024-12-08,2025-01-05,35,Star Bharat
36,Sony SAB New Year Eve Offer,New Year Eve,2024-11-12,2024-12-08,15,Sony SAB
37,Sony SAB Wimbledon Offer,Wimbledon,2024-10-13,2024-10-27,35,Sony SAB
38,Star Gold World Snooker Championship Offer,World Snooker Championship,2024-05-03,2024-05-28,10,Star Gold
39,Zee Cinema Super Bowl Offer,Super Bowl,2024-10-28,2024-11-09,30,Zee Cinema
40,Zee Cinema Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-03-05,2024-03-18,15,Zee Cinema
41,Sony Max Summer Offer,Summer,2024-03-28,2024-04-05,30,Sony Max
42,Sony Max Asian Games Offer,Asian Games,2024-05-09,2024-05-24,15,Sony Max
43,UTV Movies Thanksgiving Offer,Thanksgiving,2024-06-04,2024-07-01,30,UTV Movies
44,UTV Movies Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-05-26,2024-06-05,30,UTV Movies
45,Star Movies T20 World Cup Offer,T20 World Cup,2024-08-29,2024-09-14,10,Star Movies
46,Star World Black Friday Offer,Black Friday,2024-03-23,2024-04-05,25,Star World
47,Star World Rugby World Cup Offer,Rugby World Cup,2024-11-18,2024-12-14,20,Star World
48,Colors Cineplex Black Friday Offer,Black Friday,2024-01-03,2024-01-18,25,Colors Cineplex
49,Colors Cineplex Rugby World Cup Offer,Rugby World Cup,2024-07-04,2024-07-28,10,Colors Cineplex
50,Epic Summer Offer,Summer,2024-04-06,2024-04-16,25,Epic
51,Epic Olympics Offer,Olympics,2024-08-12,2024-09-10,30,Epic
52,Discovery Channel Olympics Offer,Olympics,2024-05-07,2024-05-28,10,Discovery Channel
53,Discovery Channel NBA Finals Offer,NBA Finals,2024-12-03,2024-12-22,10,Discovery Channel
54,History TV18 Easter Offer,Easter,2024-01-26,2024-02-02,20,History TV18
55,Nat Geo Wild Commonwealth Games Offer,Commonwealth Games,2024-09-06,2024-10-03,35,Nat Geo Wild
56,Nat Geo Wild US Open (Tennis) Offer,US Open (Tennis),2024-06-03,2024-06-17,20,Nat Geo Wild
57,Nat Geo Wild Wimbledon Offer,Wimbledon,2024-06-28,2024-07-17,20,Nat Geo Wild
58,Animal Planet Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-10-25,2024-11-19,25,Animal Planet
59,Animal Planet Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-04-23,2024-05-22,35,Animal Planet
60,Animal Planet Wimbledon Offer,Wimbledon,2024-02-16,2024-03-15,30,Animal Planet
61,Discovery Kids Diwali Offer,Diwali,2024-06-25,2024-07-06,20,Discovery Kids
62,Cartoon Network ICC Champions Trophy Offer,ICC Champions Trophy,2024-11-18,2024-12-08,10,Cartoon Network
63,Cartoon Network Black Friday Offer,Black Friday,2024-12-03,2024-12-10,30,Cartoon Network
64,Cartoon Network US Open (Tennis) Offer,US Open (Tennis),2024-10-20,2024-10-29,15,Cartoon Network
65,Pogo New Year Eve Offer,New Year Eve,2024-06-26,2024-07-12,25,Pogo
66,Pogo MotoGP World Championship Offer,MotoGP World Championship,2024-05-01,2024-05-18,20,Pogo
67,Pogo Cricket World Cup Offer,Cricket World Cup,2024-10-16,2024-11-12,20,Pogo
68,Hungama TV Thanksgiving Offer,Thanksgiving,2024-03-24,2024-04-10,15,Hungama TV
69,Hungama TV Olympics Offer,Olympics,2024-03-13,2024-04-05,20,Hungama TV
70,Sonic Holi Offer,Holi,2024-11-08,2024-12-06,25,Sonic
71,Sonic FIFA World Cup Offer,FIFA World Cup,2024-07-26,2024-08-03,20,Sonic
72,Disney Channel ICC Champions Trophy Offer,ICC Champions Trophy,2024-06-26,2024-07-24,10,Disney Channel
73,Disney Channel FIFA World Cup Offer,FIFA World Cup,2024-08-10,2024-09-05,15,Disney Channel
74,Disney Channel Diwali Offer,Diwali,2024-12-24,2025-01-06,15,Disney Channel
75,Disney Channel India T20 World Cup Offer,T20 World Cup,2024-12-11,2024-12-18,15,Disney Channel India
76,Nick India Tour de France Offer,Tour de France,2024-03-30,2024-04-19,20,Nick India
77,Star Sports Olympics Offer,Olympics,2024-10-20,2024-11-13,15,Star Sports
78,Star Sports MotoGP World Championship Offer,MotoGP World Championship,2024-09-12,2024-10-12,20,Star Sports
79,Sony Ten Easter Offer,Easter,2024-06-06,2024-06-17,30,Sony Ten
80,Star Sports 1 Hindi MotoGP World Championship Offer,MotoGP World Championship,2024-09-15,2024-09-24,30,Star Sports 1 Hindi
81,Star Sports Select 1 Diwali Offer,Diwali,2024-06-22,2024-07-04,35,Star Sports Select 1
82,Sony ESPN New Year Eve Offer,New Year Eve,2024-08-02,2024-08-15,20,Sony ESPN
83,Sony ESPN Olympics Offer,Olympics,2024-02-18,2024-02-27,20,Sony ESPN
84,Ten Golf Wimbledon Offer,Wimbledon,2024-01-05,2024-01-27,20,Ten Golf
85,DSPORT Easter Offer,Easter,2024-03-02,2024-03-11,35,DSPORT
86,DSPORT World Snooker Championship Offer,World Snooker Championship,2024-10-14,2024-11-09,35,DSPORT
87,Eurosport India Wimbledon Offer,Wimbledon,2024-08-06,2024-08-29,35,Eurosport India
88,Eurosport India Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-12-14,2024-12-24,30,Eurosport India
89,Star World Premiere Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-01-03,2024-01-14,35,Star World Premiere
90,Star World Premiere Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-02-18,2024-03-12,25,Star World Premiere
91,HBO Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-06-12,2024-06-26,30,HBO
92,AXN Commonwealth Games Offer,Commonwealth Games,2024-09-26,2024-10-12,35,AXN
93,AXN Black Friday Offer,Black Friday,2024-03-02,2024-03-18,35,AXN
94,AXN Thanksgiving Offer,Thanksgiving,2024-01-04,2024-01-18,30,AXN
95,Sony BBC Earth Cricket World Cup Offer,Cricket World Cup,2024-10-27,2024-11-05,30,Sony BBC Earth
96,Sony BBC Earth Easter Offer,Easter,2024-03-14,2024-03-23,20,Sony BBC Earth
97,BBC World News Black Friday Offer,Black Friday,2024-09-15,2024-09-27,15,BBC World News
98,BBC World News ICC Champions Trophy Offer,ICC Champions Trophy,2024-08-16,2024-09-03,20,BBC World News
99,BBC World News Super Bowl Offer,Super Bowl,2024-11-13,2024-12-03,35,BBC World News
100,Zee TV Tamil Easter Offer,Easter,2024-11-18,2024-12-09,10,Zee TV Tamil
101,Zee TV Tamil Wimbledon Offer,Wimbledon,2024-11-09,2024-12-05,20,Zee TV Tamil
102,Sun TV UEFA Euro Offer,UEFA Euro,2024-10-20,2024-11-14,30,Sun TV
103,Star Vijay Summer Offer,Summer,2024-05-04,2024-05-16,35,Star Vijay
104,Colors Tamil Wimbledon Offer,Wimbledon,2024-03-26,2024-04-04,25,Colors Tamil
105,Colors Tamil Grand Slam of Badminton Offer,Grand Slam of Badminton,2024-02-01,2024-02-16,15,Colors Tamil
106,Zee Tamil Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-04-25,2024-05-12,20,Zee Tamil
107,Zee Tamil IPL Offer,IPL,2024-02-14,2024-03-10,30,Zee Tamil
108,Zee Tamil Summer Offer,Summer,2024-06-18,2024-07-04,10,Zee Tamil
109,Jaya TV T20 World Cup Offer,T20 World Cup,2024-07-06,2024-07-20,25,Jaya TV
110,Jaya TV Grand Slam of Badminton Offer,Grand Slam of Badminton,2024-01-26,2024-02-20,25,Jaya TV
111,Jaya TV Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-02-27,2024-03-20,30,Jaya TV
112,Kalaignar TV Diwali Offer,Diwali,2024-04-20,2024-05-04,10,Kalaignar TV
113,Kalaignar TV UEFA Euro Offer,UEFA Euro,2024-01-06,2024-01-16,20,Kalaignar TV
114,Kalaignar TV Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-04-27,2024-05-13,20,Kalaignar TV
115,Polimer TV UEFA Euro Offer,UEFA Euro,2024-10-22,2024-11-10,15,Polimer TV
116,Polimer TV MotoGP World Championship Offer,MotoGP World Championship,2024-11-19,2024-12-14,35,Polimer TV
117,Polimer TV New Year Eve Offer,New Year Eve,2024-12-28,2025-01-26,30,Polimer TV
118,Raj TV FIFA World Cup Offer,FIFA World Cup,2024-08-24,2024-09-22,20,Raj TV
119,Raj TV Olympics Offer,Olympics,2024-03-04,2024-03-15,10,Raj TV
120,DD Podhigai Cricket World Cup Offer,Cricket World Cup,2024-06-11,2024-07-09,30,DD Podhigai
121,ETV Kannada MotoGP World Championship Offer,MotoGP World Championship,2024-07-15,2024-07-24,25,ETV Kannada
122,ETV Kannada MotoGP World Championship Offer,MotoGP World Championship,2024-06-15,2024-07-09,15,ETV Kannada
123,Udaya TV Rugby World Cup Offer,Rugby World Cup,2024-09-24,2024-10-03,25,Udaya TV
124,Udaya TV Easter Offer,Easter,2024-07-12,2024-08-06,15,Udaya TV
125,Colors Kannada Commonwealth Games Offer,Commonwealth Games,2024-05-15,2024-06-01,25,Colors Kannada
126,Zee Kannada Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-07-14,2024-07-24,20,Zee Kannada
127,Zee Kannada Commonwealth Games Offer,Commonwealth Games,2024-06-05,2024-06-24,30,Zee Kannada
128,Star Suvarna New Year Eve Offer,New Year Eve,2024-10-15,2024-11-05,30,Star Suvarna
129,Star Suvarna ICC Champions Trophy Offer,ICC Champions Trophy,2024-02-11,2024-02-19,15,Star Suvarna
130,Star Suvarna Diwali Offer,Diwali,2024-02-19,2024-03-11,10,Star Suvarna
131,TV9 Kannada New Year Eve Offer,New Year Eve,2024-10-17,2024-11-07,30,TV9 Kannada
132,TV9 Kannada New Year Eve Offer,New Year Eve,2024-08-01,2024-08-27,10,TV9 Kannada
133,Public TV US Open (Tennis) Offer,US Open (Tennis),2024-05-04,2024-05-30,15,Public TV
134,Public TV Asian Games Offer,Asian Games,2024-11-10,2024-12-10,20,Public TV
135,Public TV ICC Champions Trophy Offer,ICC Champions Trophy,2024-05-26,2024-06-23,10,Public TV
136,Vasanth TV Olympics Offer,Olympics,2024-09-16,2024-10-01,35,Vasanth TV
137,Vasanth TV Christmas Offer,Christmas,2024-09-14,2024-10-03,35,Vasanth TV
138,Vasanth TV World Snooker Championship Offer,World Snooker Championship,2024-11-23,2024-12-06,25,Vasanth TV
139,Asianet FIFA World Cup Offer,FIFA World Cup,2024-07-11,2024-07-21,35,Asianet
140,Asianet NBA Finals Offer,NBA Finals,2024-05-20,2024-06-19,30,Asianet
141,Surya TV Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-04-19,2024-05-06,30,Surya TV
142,Surya TV Diwali Offer,Diwali,2024-10-25,2024-11-07,30,Surya TV
143,Mazhavil Manorama IPL Offer,IPL,2024-04-14,2024-05-07,20,Mazhavil Manorama
144,Kairali TV MotoGP World Championship Offer,MotoGP World Championship,2024-04-28,2024-05-25,30,Kairali TV
145,Jaihind TV Easter Offer,Easter,2024-01-09,2024-01-20,20,Jaihind TV
146,News18 Kerala US Open (Tennis) Offer,US Open (Tennis),2024-02-10,2024-02-25,20,News18 Kerala
147,Reporter TV Olympics Offer,Olympics,2024-08-17,2024-09-10,30,Reporter TV
148,Reporter TV Tour de France Offer,Tour de France,2024-08-26,2024-09-17,35,Reporter TV
149,Reporter TV World Snooker Championship Offer,World Snooker Championship,2024-04-07,2024-04-15,10,Reporter TV
150,Flowers TV T20 World Cup Offer,T20 World Cup,2024-07-19,2024-07-27,10,Flowers TV
151,Flowers TV Easter Offer,Easter,2024-08-21,2024-09-14,20,Flowers TV
152,Flowers TV Diwali Offer,Diwali,2024-12-24,2025-01-01,20,Flowers TV
153,Amrita TV Rugby World Cup Offer,Rugby World Cup,2024-10-01,2024-10-27,10,Amrita TV
154,Amrita TV US Open (Tennis) Offer,US Open (Tennis),2024-09-09,2024-10-08,10,Amrita TV
155,DD News Grand Slam of Badminton Offer,Grand Slam of Badminton,2024-08-21,2024-09-02,30,DD News
156,DD News Diwali Offer,Diwali,2024-07-29,2024-08-26,25,DD News
157,DD News NBA Finals Offer,NBA Finals,2024-09-20,2024-10-04,20,DD News
158,Lok Sabha TV Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-01-25,2024-02-09,15,Lok Sabha TV
159,Rajya Sabha TV Super Bowl Offer,Super Bowl,2024-08-04,2024-08-29,25,Rajya Sabha TV
160,Rajya Sabha TV MotoGP World Championship Offer,MotoGP World Championship,2024-05-23,2024-06-02,20,Rajya Sabha TV
161,Rajya Sabha TV Thanksgiving Offer,Thanksgiving,2024-11-10,2024-11-18,10,Rajya Sabha TV
162,Sansad TV Rugby World Cup Offer,Rugby World Cup,2024-05-04,2024-05-24,25,Sansad TV
163,Sansad TV Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-01-05,2024-01-26,20,Sansad TV
164,DD Sports IPL Offer,IPL,2024-08-06,2024-08-20,30,DD Sports
165,DD Sports ICC Champions Trophy Offer,ICC Champions Trophy,2024-11-16,2024-12-14,20,DD Sports
166,Sony TEN 2 IPL Offer,IPL,2024-02-10,2024-03-03,30,Sony TEN 2
167,Sony TEN 2 ICC Champions Trophy Offer,ICC Champions Trophy,2024-11-12,2024-12-01,20,Sony TEN 2
168,Sony TEN 2 Super Bowl Offer,Super Bowl,2024-02-18,2024-03-13,15,Sony TEN 2
169,Sony ESPN HD NBA Finals Offer,NBA Finals,2024-07-06,2024-08-02,10,Sony ESPN HD
170,Sony ESPN HD ICC Champions Trophy Offer,ICC Champions Trophy,2024-07-07,2024-07-17,35,Sony ESPN HD
171,Sony ESPN HD Summer Offer,Summer,2024-03-07,2024-03-16,20,Sony ESPN HD
172,NDTV Prime Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-07-26,2024-08-16,30,NDTV Prime
173,NDTV Prime UEFA Euro Offer,UEFA Euro,2024-05-29,2024-06-20,25,NDTV Prime
174,NDTV Prime Black Friday Offer,Black Friday,2024-10-25,2024-11-22,15,NDTV Prime
175,Colors Rishtey Super Bowl Offer,Super Bowl,2024-09-06,2024-09-21,20,Colors Rishtey
176,Colors Rishtey ICC Champions Trophy Offer,ICC Champions Trophy,2024-11-15,2024-12-10,30,Colors Rishtey
177,Star Utsav Diwali Offer,Diwali,2024-10-11,2024-10-31,10,Star Utsav
178,Star Utsav Super Bowl Offer,Super Bowl,2024-09-14,2024-09-26,35,Star Utsav
179,Star Utsav IPL Offer,IPL,2024-07-06,2024-07-13,30,Star Utsav
180,Epic TV MotoGP World Championship Offer,MotoGP World Championship,2024-12-22,2025-01-16,35,Epic TV
181,Big Magic Rugby World Cup Offer,Rugby World Cup,2024-01-19,2024-02-07,15,Big Magic
182,Star One Easter Offer,Easter,2024-06-16,2024-06-27,20,Star One
183,Star One Asian Games Offer,Asian Games,2024-12-15,2025-01-07,25,Star One
184,Star One Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-10-07,2024-11-03,35,Star One
185,Zoom T20 World Cup Offer,T20 World Cup,2024-11-12,2024-11-20,15,Zoom
186,Zoom UEFA Euro Offer,UEFA Euro,2024-11-25,2024-12-20,25,Zoom
187,NewsX World Snooker Championship Offer,World Snooker Championship,2024-08-18,2024-09-16,35,NewsX
188,NewsX FIFA World Cup Offer,FIFA World Cup,2024-08-15,2024-09-13,35,NewsX
189,NewsX ICC Champions Trophy Offer,ICC Champions Trophy,2024-10-15,2024-10-28,30,NewsX
190,India TV IPL Offer,IPL,2024-04-25,2024-05-04,25,India TV
191,India TV World Snooker Championship Offer,World Snooker Championship,2024-10-05,2024-11-01,20,India TV
192,India TV Commonwealth Games Offer,Commonwealth Games,2024-01-02,2024-02-01,35,India TV
193,WION IPL Offer,IPL,2024-09-08,2024-09-26,30,WION
194,Republic Bharat Holi Offer,Holi,2024-09-08,2024-09-30,30,Republic Bharat
195,Republic Bharat Cricket World Cup Offer,Cricket World Cup,2024-08-22,2024-09-10,15,Republic Bharat
196,Republic Bharat Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-04-23,2024-05-11,15,Republic Bharat
197,ABP Ananda Asian Games Offer,Asian Games,2024-04-24,2024-05-03,15,ABP Ananda
198,Zee 24 Ghanta Thanksgiving Offer,Thanksgiving,2024-10-11,2024-10-20,15,Zee 24 Ghanta
199,Dangal Christmas Offer,Christmas,2024-01-31,2024-02-28,20,Dangal
200,Dangal Commonwealth Games Offer,Commonwealth Games,2024-01-13,2024-02-05,30,Dangal
201,Dangal World Snooker Championship Offer,World Snooker Championship,2024-08-19,2024-08-28,10,Dangal
202,Sun Bollywood ICC Champions Trophy Offer,ICC Champions Trophy,2024-11-25,2024-12-02,25,Sun Bollywood
203,Zee Marathi T20 World Cup Offer,T20 World Cup,2024-02-17,2024-03-14,35,Zee Marathi
204,Zee Marathi Formula 1 Grand Prix Offer,Formula 1 Grand Prix,2024-12-19,2025-01-01,10,Zee Marathi
205,Zee Marathi Summer Offer,Summer,2024-11-09,2024-11-21,15,Zee Marathi
206,Colors Marathi Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-11-24,2024-12-03,15,Colors Marathi
207,Colors Marathi FIFA World Cup Offer,FIFA World Cup,2024-06-06,2024-07-04,25,Colors Marathi
208,Colors Marathi New Year Eve Offer,New Year Eve,2024-08-17,2024-09-04,15,Colors Marathi
209,Star Pravah Grand Slam of Badminton Offer,Grand Slam of Badminton,2024-08-28,2024-09-13,30,Star Pravah
210,Star Pravah MotoGP World Championship Offer,MotoGP World Championship,2024-10-22,2024-11-07,15,Star Pravah
211,Star Pravah Cricket World Cup Offer,Cricket World Cup,2024-08-27,2024-09-23,20,Star Pravah
212,Sony Marathi ICC Champions Trophy Offer,ICC Champions Trophy,2024-10-19,2024-11-04,35,Sony Marathi
213,ABP Majha Black Friday Offer,Black Friday,2024-05-25,2024-06-01,25,ABP Majha
214,ABP Majha Melbourne Cup (Horse Racing) Offer,Melbourne Cup (Horse Racing),2024-11-24,2024-12-17,10,ABP Majha
